League,Home,Away,INC,Date,Time,H_Score,A_Score,WIN,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards
premier-league,Crystal Palace,Aston Villa,"[""17' Goal_Away - McGinn J."", ""32' Goal_Home - Benteke C.(Mitchell T.)"", ""34' Goal_Away - El-Ghazi A.(Watkins O.)"", ""50' Yellow_Away - McGinn J.(Podcięcie)"", ""73' Yellow_Home - Ward J.(Nadmierna ostrość)"", ""75' Goal_Home - Zaha W.(Eze E.)"", ""82' Yellow_Home - Kouyate C.(Faul)"", ""84' Goal_Home - Mitchell T."", ""86' Yellow_Away - Hause K.(Przytrzymywanie)"", ""90+2' Yellow_Home - Zaha W.(Podcięcie)""]",16.05.2021,13:00,3,2,Home,46%,54%,23,19,8,5,103,77,50,58,3,8,12,6,15,24,7,7,2,2,3,5,23,13,3,2
premier-league,Brighton,West Ham,"[""18' Yellow_Home - Bissouma Y.(Faul)"", ""84' Goal_Home - Welbeck D.(Tau P.)"", ""87' Goal_Away - Benrahma S.""]",15.05.2021,21:00,1,1,Draw,51%,49%,10,15,2,3,93,131,37,54,2,8,6,4,7,7,3,3,0,2,2,1,7,5,1,0
premier-league,Southampton,Fulham,"[""26' Yellow_Away - Andersen J.(Przytrzymywanie)"", ""27' Goal_Home - Adams C.(Ward-Prowse J.)"", ""60' Goal_Home - Tella N.(Walker-Peters K.)"", ""75' Goal_Away - Carvalho F.(Reid B.)"", ""82' Goal_Home - Walcott T.(Tella N.)""]",15.05.2021,16:00,3,1,Home,46%,54%,11,10,7,3,93,92,37,48,2,4,2,3,16,12,6,5,3,1,2,4,9,15,0,1
premier-league,Burnley,Leeds,"[""44' Goal_Away - Klich M.(Raphinha)"", ""59' Goal_Away - Harrison J.(Alioski E.)"", ""63' Yellow_Away - Phillips K.(Podcięcie)"", ""65' Yellow_Home - Westwood A.(Podcięcie)"", ""77' Goal_Away - Rodrigo(Harrison J.)"", ""79' Goal_Away - Rodrigo(Harrison J.)""]",15.05.2021,13:30,0,4,Away,48%,52%,16,16,4,6,121,67,58,38,8,5,4,5,16,12,6,8,2,6,2,4,10,10,1,1
premier-league,Newcastle United,Manchester City,"[""25' Goal_Home - Krafth E.(Shelvey J.)"", ""36' Yellow_Home - Ritchie M.(Podcięcie)"", ""39' Goal_Away - Cancelo J.(Rodri)"", ""42' Goal_Away - Torres F.(Gundogan I.)"", ""44' Yellow_Away - Rodri(Przytrzymywanie)"", ""45+6' Goal_Home - Joelinton(Penalty )"", ""56' Yellow_Away - Cancelo J.(Nadmierna ostrość)"", ""59' Yellow_Home - Shelvey J.(Podcięcie)"", ""62' Goal_Home - Willock J."", ""62' Penalty_Missed_Home -  Willock J.()"", ""64' Goal_Away - Torres F.(Gabriel Jesus)"", ""66' Goal_Away - Torres F.""]",14.05.2021,21:00,3,4,Away,18%,82%,11,15,5,6,47,171,19,85,3,7,3,2,8,12,4,5,1,0,2,2,11,10,2,2
premier-league,Manchester United,Liverpool,"[""10' Goal_Home - Fernandes B.(Wan-Bissaka A.)"", ""34' Goal_Away - Jota D.(Phillips N.)"", ""45+3' Goal_Away - Firmino R.(Alexander-Arnold T.)"", ""47' Goal_Away - Firmino R."", ""48' Yellow_Home - Bailly E.(Nadmierna ostrość)"", ""68' Goal_Home - Rashford M.(Cavani E.)"", ""79' Yellow_Home - McTominay S.(Nadmierna ostrość)"", ""85' Yellow_Home - Cavani E.(Podcięcie)"", ""90' Goal_Away - Salah M.(Jones C.)""]",13.05.2021,21:15,2,4,Away,53%,47%,18,17,3,8,115,118,62,57,8,5,7,4,13,12,6,4,1,1,4,1,10,12,3,0
premier-league,Aston Villa,Everton,"[""43' Yellow_Home - Traore B.(Symulowanie)"", ""55' Yellow_Away - Sigurdsson G.(Nadmierna ostrość)"", ""90' Yellow_Home - McGinn J.(Nadmierna ostrość)""]",13.05.2021,19:00,0,0,Draw,58%,42%,13,15,2,5,116,106,38,47,7,9,4,1,14,9,9,1,0,2,5,2,9,12,2,1
premier-league,Chelsea,Arsenal,"[""16' Goal_Away - Smith Rowe E.(Aubameyang P.)"", ""61' Var_Home"", ""90+4' Yellow_Away - Thomas(Symulowanie)""]",12.05.2021,21:15,0,1,Away,68%,32%,19,5,5,2,131,64,107,28,9,1,5,2,8,11,9,1,4,2,1,5,7,6,0,1
premier-league,Southampton,Crystal Palace,"[""02' Goal_Away - Benteke C."", ""19' Goal_Home - Ings D.(Redmond N.)"", ""41' Penalty_Missed_Away -  Milivojevic L.()"", ""44' Yellow_Home - Bednarek J.(Podcięcie)"", ""45+1' Yellow_Away - Ayew J.(Przytrzymywanie)"", ""48' Goal_Home - Adams C.(Armstrong S.)"", ""54' Yellow_Home - Vestergaard J.(Podcięcie)"", ""75' Goal_Home - Ings D.(Adams C.)"", ""77' Yellow_Away - Kouyate C.(Niesportowe zachowanie)"", ""90+2' Yellow_Away - Zaha W.(Nadmierna ostrość)""]",11.05.2021,21:15,3,1,Home,63%,37%,13,11,6,4,111,94,35,37,3,2,4,5,16,20,12,8,1,2,3,3,20,13,2,3
premier-league,Manchester United,Leicester City,"[""10' Goal_Away - Thomas L.(Tielemans Y.)"", ""15' Goal_Home - Greenwood M.(Diallo A.)"", ""66' Goal_Away - Soyuncu C.(Albrighton M.)""]",11.05.2021,19:00,1,2,Away,53%,47%,4,12,1,3,96,131,23,48,3,3,0,6,11,13,3,4,3,0,1,0,9,12,,
